week_start,Mode,subway_rides
2023-05-27,Subway,2375741.0
2023-05-26,Subway,3496511.0
2023-05-25,Subway,3859385.0
2023-05-24,Subway,3960264.0
2023-05-23,Subway,3929003.0
2023-05-22,Subway,3571748.0
2023-05-21,Subway,2132724.0
2023-05-20,Subway,2314672.0
2023-05-19,Subway,3789929.0
2023-05-18,Subway,4082154.0
2023-05-17,Subway,4104786.0
2023-05-16,Subway,4002015.0
2023-05-15,Subway,3553443.0
2023-05-14,Subway,1926966.0
2023-05-13,Subway,2487178.0
2023-05-12,Subway,3723192.0
2023-05-11,Subway,4015942.0
2023-05-10,Subway,4014009.0
2023-05-09,Subway,3925555.0
2023-05-08,Subway,3563340.0
2023-05-07,Subway,2033790.0
2023-05-06,Subway,2563102.0
2023-05-05,Subway,3759375.0
2023-05-04,Subway,3985001.0
2023-05-03,Subway,4030601.0
2023-05-02,Subway,3961858.0
2023-05-01,Subway,3664755.0
2023-04-30,Subway,1744098.0
2023-04-29,Subway,2179978.0
2023-04-28,Subway,3703088.0
2023-04-27,Subway,3999831.0
2023-04-26,Subway,3994837.0
2023-04-25,Subway,3956922.0
2023-04-24,Subway,3561262.0
2023-04-23,Subway,1923243.0
2023-04-22,Subway,2506140.0
2023-04-21,Subway,3492257.0
2023-04-20,Subway,4002433.0
2023-04-19,Subway,3927706.0
2023-04-18,Subway,3862133.0
2023-04-17,Subway,3418834.0
2023-04-16,Subway,1864753.0
2023-04-15,Subway,2365464.0
2023-04-14,Subway,3471420.0
2023-04-13,Subway,3628304.0
2023-04-12,Subway,3576687.0
2023-04-11,Subway,3537843.0
2023-04-10,Subway,3142740.0
2023-04-09,Subway,1855826.0
2023-04-08,Subway,2393347.0
2023-04-07,Subway,3130675.0
2023-04-06,Subway,3421271.0
2023-04-05,Subway,3799965.0
2023-04-04,Subway,3906882.0
2023-04-03,Subway,3597785.0
2023-04-02,Subway,1949665.0
2023-04-01,Subway,2283533.0
2023-03-31,Subway,3573735.0
2023-03-30,Subway,3860289.0
2023-03-29,Subway,3872948.0
2023-03-28,Subway,3765920.0
2023-03-27,Subway,3397258.0
2023-03-26,Subway,1939984.0
2023-03-25,Subway,2153554.0
2023-03-24,Subway,3534300.0
2023-03-23,Subway,3774396.0
2023-03-22,Subway,3797399.0
2023-03-21,Subway,3801084.0
2023-03-20,Subway,3442589.0
2023-03-19,Subway,1894476.0
2023-03-18,Subway,2417873.0
2023-03-17,Subway,3661519.0
2023-03-16,Subway,3949788.0
2023-03-15,Subway,3912366.0
2023-03-14,Subway,3577250.0
2023-03-13,Subway,3352388.0
2023-03-12,Subway,1773585.0
2023-03-11,Subway,2230530.0
2023-03-10,Subway,3502339.0
2023-03-09,Subway,3827656.0
2023-03-08,Subway,3842861.0
2023-03-07,Subway,3773780.0
2023-03-06,Subway,3427019.0
2023-03-05,Subway,1772121.0
2023-03-04,Subway,2173217.0
2023-03-03,Subway,3481830.0
2023-03-02,Subway,3765925.0
2023-03-01,Subway,3780713.0
