pickup_date,total_trips
2023-01-01,76757.0
2023-01-02,65777.0
2023-01-03,85783.0
2023-01-04,95092.0
2023-01-05,101063.0
2023-01-06,102550.0
2023-01-07,105036.0
2023-01-08,85056.0
2023-01-09,85349.0
2023-01-10,99916.0
2023-01-11,106118.0
2023-01-12,111386.0
2023-01-13,110719.0
2023-01-14,112950.0
2023-01-15,96844.0
2023-01-16,80120.0
2023-01-17,101052.0
2023-01-18,106152.0
2023-01-19,114603.0
2023-01-20,109444.0
2023-01-21,111999.0
2023-01-22,89651.0
2023-01-23,89791.0
2023-01-24,103858.0
2023-01-25,109196.0
2023-01-26,114877.0
2023-01-27,111668.0
2023-01-28,111645.0
2023-01-29,88131.0
2023-01-30,83768.0
2023-01-31,100380.0
2023-02-01,107780.0
2023-02-02,113074.0
2023-02-03,115149.0
2023-02-04,98236.0
2023-02-05,84099.0
2023-02-06,91046.0
2023-02-07,106097.0
2023-02-08,108397.0
2023-02-09,115122.0
2023-02-10,114361.0
2023-02-11,114484.0
2023-02-12,94403.0
2023-02-13,92981.0
2023-02-14,108344.0
2023-02-15,110638.0
2023-02-16,112816.0
2023-02-17,111745.0
2023-02-18,105272.0
2023-02-19,90018.0
2023-02-20,79583.0
2023-02-21,99877.0
2023-02-22,110874.0
2023-02-23,115242.0
2023-02-24,115492.0
2023-02-25,113591.0
2023-02-26,91145.0
2023-02-27,92992.0
2023-02-28,101145.0
2023-03-01,115297.0
2023-03-02,118944.0
2023-03-03,116428.0
2023-03-04,113201.0
2023-03-05,97012.0
2023-03-06,93563.0
2023-03-07,113802.0
2023-03-08,117449.0
2023-03-09,121705.0
2023-03-10,121793.0
2023-03-11,111369.0
2023-03-12,95149.0
2023-03-13,100498.0
2023-03-14,107682.0
2023-03-15,120047.0
2023-03-16,124026.0
2023-03-17,112560.0
2023-03-18,121648.0
2023-03-19,100555.0
2023-03-20,91489.0
2023-03-21,101875.0
2023-03-22,106032.0
2023-03-23,114123.0
2023-03-24,111041.0
2023-03-25,115598.0
2023-03-26,94130.0
2023-03-27,96449.0
2023-03-28,104320.0
2023-03-29,111286.0
2023-03-30,119315.0
2023-03-31,115274.0
2023-04-01,117001.0
2023-04-02,99876.0
2023-04-03,96915.0
2023-04-04,108589.0
2023-04-05,115650.0
2023-04-06,108133.0
2023-04-07,106042.0
2023-04-08,101579.0
2023-04-09,88448.0
2023-04-10,89793.0
2023-04-11,104907.0
2023-04-12,113283.0
2023-04-13,122099.0
2023-04-14,123985.0
2023-04-15,118936.0
2023-04-16,98528.0
2023-04-17,97845.0
2023-04-18,115016.0
2023-04-19,117691.0
2023-04-20,125748.0
2023-04-21,116912.0
2023-04-22,118000.0
2023-04-23,98060.0
2023-04-24,99928.0
2023-04-25,112873.0
2023-04-26,120136.0
2023-04-27,124363.0
2023-04-28,123181.0
2023-04-29,110530.0
2023-04-30,94202.0
2023-05-01,99694.0
2023-05-02,115062.0
2023-05-03,119584.0
2023-05-04,126709.0
2023-05-05,121662.0
2023-05-06,121580.0
