ds,y,prediction_5,prediction,prediction_95
2021-03-01,54838.0,41646.40826406812,50560.9392708457,61351.129107509856
2021-03-02,61843.0,49590.98633666849,60878.40195583791,69488.61532926257
2021-03-03,63297.0,59221.68498490766,67603.23045665948,77830.51435411439
2021-03-04,67141.0,54647.595672717754,63096.312879731086,73567.97561262919
2021-03-05,69582.0,58026.25311830794,68025.7775905946,77180.00613397315
2021-03-06,55004.0,47341.7758077101,56682.283966443596,64183.336901368806
2021-03-07,38947.0,35869.15320063505,45878.75814960449,56601.653363016434
2021-03-08,56282.0,46209.363343228535,52761.24847302265,67275.5840760907
2021-03-09,62056.0,54441.87357222727,63493.419334170285,74885.06764412664
2021-03-10,64635.0,58918.5831302887,67919.94440335294,79794.75891888583
2021-03-11,68222.0,53438.6448315228,64410.15621262248,74793.75585925407
2021-03-12,71716.0,57511.4392401873,68441.06280686319,78459.19812554012
2021-03-13,60870.0,49728.29317151053,58245.93616076355,66300.24354953328
2021-03-14,43964.0,36877.574479930976,46570.793016765805,52860.0657940084
2021-03-15,61407.0,47362.595205705555,58716.54430785937,67448.95218001322
2021-03-16,65479.0,61125.96262777024,66914.95388693514,76036.40700976894
2021-03-17,71510.0,59754.68781440072,71205.81911119817,81634.75143485
2021-03-18,71539.0,58268.521192748536,71036.55450739274,79100.41074098731
2021-03-19,74427.0,63833.33444429069,74191.71947543706,85116.29476109655
2021-03-20,61538.0,50210.410601990916,62033.08194703957,72255.11442960917
2021-03-21,45124.0,37933.7615583633,47908.29652759613,56747.33883291999
2021-03-22,59959.0,52266.70113534332,62028.501316110516,72043.35140996816
2021-03-23,63548.0,55963.44869454723,67319.42834396545,76417.08554067496
2021-03-24,68659.0,62415.23252902409,71153.6155398952,79706.00457977649
2021-03-25,69841.0,61145.995487818,71522.95703900007,80017.76150714478
2021-03-26,73535.0,63526.09976340021,72460.99077455704,81808.21639364338
2021-03-27,67392.0,51437.88438381239,59651.539630047926,70090.80589423738
2021-03-28,40404.0,40581.22493866207,49735.67263040719,58709.33012578805
2021-03-29,58127.0,52408.405686119804,59895.70200082561,69182.95863854155
2021-03-30,66702.0,57625.770357556736,65564.74936732955,73086.31730774148
2021-03-31,67542.0,61431.260882555376,70544.87851220953,84759.79881909933
2021-04-01,72434.0,61474.59063941585,69677.94417925805,80250.2810470968
2021-04-02,72350.0,64186.6346063372,73883.18675276366,81760.98672368309
2021-04-03,61847.0,52897.48139917344,61691.62165133655,75198.743949829
2021-04-04,46310.0,37376.17581302436,44769.958483023074,53587.29167705011
2021-04-05,62955.0,51972.111700133515,61461.898031440105,70468.38547435364
2021-04-06,70472.0,60936.812143882846,68558.86593781898,78698.95198719212
2021-04-07,74662.0,64765.30120894476,73682.90917046233,83480.82870941899
2021-04-08,77611.0,64222.03553404274,75798.87799507374,86927.64457698802
2021-04-09,78827.0,69853.78826445504,78185.56095901273,88577.17054833233
2021-04-10,68688.0,58217.1521013906,68685.07509773583,74789.44593129774
2021-04-11,47584.0,41225.88559872149,51781.31654621617,60508.32207331369
2021-04-12,70272.0,54950.80685376869,66826.81047562942,77106.54820678502
2021-04-13,74244.0,67535.90307198171,74352.68122257365,83142.17173760018
2021-04-14,77299.0,70127.68301794985,79120.03738301482,87939.78919277505
2021-04-15,80429.0,70420.5442555508,80006.35335688382,90074.65725631645
2021-04-16,82456.0,73583.8074772142,82058.55441573834,90451.01477648647
2021-04-17,74101.0,61942.591462282915,71797.12879562823,80345.9483879217
2021-04-18,54143.0,45375.7179932658,53608.87581595301,64112.13497039704
2021-04-19,67688.0,63043.89473948127,71999.2067753853,80954.16723902692
2021-04-20,78724.0,66560.02611320424,76617.19538616456,84323.2640390712
2021-04-21,79367.0,69644.26391024531,81372.8220658288,89864.75788327507
2021-04-22,84344.0,72225.52263401177,82831.71672832246,91515.05198425827
2021-04-23,84623.0,75107.68993050215,85340.7304067658,97710.38645756841
2021-04-24,78858.0,66640.79739268692,74880.3743344645,83484.26185421154
2021-04-25,49330.0,49057.248171924526,58356.77120679217,66559.417974562
2021-04-26,70215.0,64345.45851914068,72127.426661637,83647.53226007335
2021-04-27,76481.0,70472.43949899754,77606.10760543516,87150.8778677338
2021-04-28,83553.0,71573.67944228352,80487.52244349109,90319.15171744635
2021-04-29,82210.0,75692.41756146665,85257.19697798949,95175.02822652804
2021-04-30,89141.0,76642.17991825807,85413.00736220664,94720.44584967506
2021-05-01,80717.0,65847.40716262597,77720.45202330228,86735.10714983294
2021-05-02,60957.0,48626.28720252259,57136.96995144787,66392.7513631913
2021-05-03,75261.0,68281.45498176788,77524.02565080555,85160.78079784097
2021-05-04,80894.0,74011.8419243004,84561.89579049988,93134.77212988141
2021-05-05,87029.0,76790.65937573071,87248.67214152006,93814.36183404086
2021-05-06,88472.0,77226.45300210675,88799.94576818268,96617.19067688604
2021-05-07,92383.0,76039.74726021643,91757.8992658953,102921.3479178203
2021-05-08,80021.0,71504.40559757724,82303.09769450437,90865.49111352106
2021-05-09,64461.0,49777.05956187462,59913.09784523402,67574.25291750835
2021-05-10,74390.0,70549.33530944475,78847.3390890217,87721.63883120602
2021-05-11,83498.0,72999.4709200358,84872.90982615549,94568.32617253905
2021-05-12,86867.0,76569.84082152555,88102.74967871432,99658.96184988087
2021-05-13,82527.0,81426.63072371579,89077.2334967611,96715.81991653041
2021-05-14,92518.0,79719.57795707657,88912.07065415313,99176.03685939593
2021-05-15,88865.0,74178.47418906358,80847.30542285228,90198.90557663358
2021-05-16,66387.0,52732.367386921585,62952.06039113122,75196.582901189
2021-05-17,74097.0,72495.06284904275,80859.29678354989,90129.96903924535
2021-05-18,84772.0,75702.6275792855,85516.3146815846,94628.79139876204
2021-05-19,90733.0,81326.55622807375,90286.73700166575,98922.93755341812
