ds,y,prediction_5,prediction,prediction_95
2021-10-28,125607.0,109380.4414903582,120857.46591012985,130260.55882452134
2021-10-29,130631.0,116890.08348782097,124736.66277229921,134712.3895637638
2021-10-30,119589.0,116190.84748415709,124554.96140418958,132457.01872245202
2021-10-31,102310.0,88662.99115188666,99940.33456110276,109087.74964598024
2021-11-01,106500.0,94326.42280315462,103082.29385048807,110749.0215596393
2021-11-02,115847.0,105256.11292423238,116062.72896036503,126076.44172500592
2021-11-03,121839.0,115865.45331528704,125521.33952245637,134709.2604957803
2021-11-04,127917.0,114573.00580126423,127524.01454081543,135478.1240232081
2021-11-05,129921.0,118456.9788026461,129635.48595945822,141704.60328649674
2021-11-06,131460.0,118038.26527024235,125889.09661429425,132960.30868740898
2021-11-07,100647.0,99391.33007530805,106582.69420904087,117459.65185969227
2021-11-08,106822.0,98245.1074136011,107796.29255290754,115825.38137856775
2021-11-09,118745.0,107284.08159650574,117475.07140903038,125689.4713675706
2021-11-10,126617.0,112682.42372501595,126413.75849391706,137390.39030730337
2021-11-11,123715.0,121637.94043667837,132592.728253602,141843.44985093464
2021-11-12,128010.0,120772.68152335031,131272.28534076663,137199.02547832963
2021-11-13,132310.0,117266.35760250066,126197.99290310011,136801.95401373596
2021-11-14,109696.0,95319.20144510345,104257.75848508673,112790.58388533982
2021-11-15,114815.0,102670.92956299511,110508.66431637404,120304.16889076373
2021-11-16,122702.0,111449.31610967807,121895.9933783375,131055.9893068485
2021-11-17,126605.0,122462.54408238153,131296.22894634766,142272.45053704677
2021-11-18,133377.0,123057.7406472727,131225.16445543926,141782.69041671196
2021-11-19,135462.0,128000.3834000962,136524.1400197888,146629.64232714323
2021-11-20,131453.0,123435.34089924465,133848.89458549808,142500.30144999703
2021-11-21,105078.0,102089.75773054482,108471.06808678432,117059.17386342844
2021-11-22,112469.0,101411.57973955855,110685.32733078169,120745.6492308222
2021-11-23,120235.0,112169.67515429268,121476.29614414948,128475.68734467958
2021-11-24,108411.0,120531.33972839604,128628.43476025545,137176.6367207911
2021-11-25,70312.0,118250.52895404353,126170.76489661164,135013.72016585636
2021-11-26,89887.0,100639.01925884266,111079.76501529085,120560.43075910902
2021-11-27,104505.0,91257.05708552674,101762.69263050033,110377.46149787925
2021-11-28,90990.0,71945.3865222408,79810.41277742028,91020.7777886911
2021-11-29,107130.0,77111.33860137682,87468.29644538515,99167.50031131708
2021-11-30,119420.0,91296.09058884041,103816.57852593943,114204.54659490261
2021-12-01,122007.0,100642.4679120237,113252.01326452015,123344.04432206423
2021-12-02,128647.0,103082.77293148095,113271.83705460082,121601.52438640036
2021-12-03,136231.0,117151.69339890219,127314.65439186971,137101.74435771853
2021-12-04,132392.0,122348.72484652663,132343.76888051466,141056.87937003566
2021-12-05,109654.0,100260.64714066853,109582.24447643192,118514.20919523989
2021-12-06,112665.0,105838.7348712014,115741.69649103517,125678.92689608477
2021-12-07,126649.0,112089.58317946602,124532.80953140414,133229.24760145147
2021-12-08,131663.0,117558.54442356435,128615.56535262456,137302.0727355225
2021-12-09,134724.0,120364.45823732894,128406.76106548315,137662.8403053556
2021-12-10,133497.0,127592.67649602488,137395.86782147337,146979.08820091264
2021-12-11,130247.0,124074.0723698614,135874.79181571183,146212.39723008254
2021-12-12,107167.0,102965.25920760471,112391.4778646109,122813.77733727821
2021-12-13,111299.0,106059.8441232265,116652.5401356572,126101.93695494915
2021-12-14,120218.0,117040.43164606919,125234.47577357465,133903.14892554455
2021-12-15,125053.0,115462.5784994865,126970.86677355994,136342.9661013339
2021-12-16,126270.0,115055.5867852969,126092.44820415294,132900.79185197467
2021-12-17,124147.0,119603.98231880015,131134.32123090213,141166.72427529778
2021-12-18,110282.0,120794.45901988623,129463.76426395256,139825.6935307164
2021-12-19,91202.0,91513.9414091341,101365.98215695738,113651.05704666236
2021-12-20,94213.0,92161.4542903223,103541.14617935466,113330.37318886041
2021-12-21,93095.0,100454.32541175667,111726.79020306756,122680.56652110662
2021-12-22,91699.0,99426.63850881092,108396.14053998381,118727.39956999203
2021-12-23,87850.0,94920.07720959811,104050.0575330069,117757.42109342794
2021-12-24,69619.0,93570.59808785885,102670.16648212197,111175.64421823798
2021-12-25,40807.0,80175.72008421268,89067.07557455006,98842.62979874709
2021-12-26,54705.0,43031.267041999374,53101.1791829311,63582.30884996073
2021-12-27,69897.0,50355.8333337788,58769.98682701669,68726.93484807819
2021-12-28,75037.0,62045.59095874882,71637.63285317084,81383.12626391195
2021-12-29,74989.0,67073.73408006594,77078.26355141406,85375.8806744274
2021-12-30,77968.0,68941.92552279917,75854.03145243273,84436.4129696032
2021-12-31,70426.0,69734.36421038824,78994.485621567,89068.72961557227
2022-01-01,63454.0,59399.22620078602,71049.33694191926,80411.35603647227
2022-01-02,58421.0,46708.59733864295,55819.8791640722,66209.4131246795
2022-01-03,72408.0,54465.3725946915,66385.05834945856,72645.9136012835
2022-01-04,74562.0,66182.7476608455,74627.02077905266,84084.8943142056
2022-01-05,74592.0,68161.56010571955,77380.7384472065,89095.33020840255
2022-01-06,79909.0,66793.67332328636,78070.9161884422,85453.89492144255
2022-01-07,71590.0,67346.41890365732,78554.38230166494,88049.50736249164
2022-01-08,83179.0,60226.1610655273,70760.0985585422,80281.71305564161
2022-01-09,64017.0,56651.65204413332,66064.93583790124,74202.81963648288
2022-01-10,73692.0,61602.923424231085,73101.24572026395,81598.64306056716
